Bacteria,Fago
m_vanbaalenii,Chy5
m_vanbaalenii,Chy4
m_vanbaalenii,Donovan 
m_vanbaalenii,BigNuz
m_vanbaalenii,Babsiella
m_vanbaalenii,Malithi
mtb_h37rv,Bactobuster
mtb_h37rv,SWU1
m_gilvum,Chy5
m_gilvum,Chy4
m_gilvum,32HC
m_intracellulare,Giles
m_liflandii,Chy5
m_liflandii,Chy4
m_shigaense,Brujita
m_shigaense,Island3
m_shigaense,Brusacoram
m_shigaense,Shipwreck
m_shigaense,Fishburne
m_shigaense,Donovan 
m_shigaense,BigNuz
m_shigaense,Babsiella
m_shigaense,Malithi
m_stephanolepidis,Eagle
m_stephanolepidis,Vix
m_stephanolepidis,LHTSCC
m_stephanolepidis,Medusa
m_stephanolepidis,Anubis
m_stephanolepidis,BellusTerra
m_stephanolepidis,Obama12
m_stephanolepidis,Equemioh13
m_stephanolepidis,Tiffany
m_stephanolepidis,Piro94
m_stephanolepidis,MarQuardt
m_stephanolepidis,SweetiePie
m_stephanolepidis,Larenn
m_stephanolepidis,Taurus
m_stephanolepidis,Marie
m_stephanolepidis,Malinsilva
m_stephanolepidis,Hercules11
m_stephanolepidis,EvilGenius
m_stephanolepidis,ChipMunk
m_stephanolepidis,Penny1
m_stephanolepidis,Aglet
m_stephanolepidis,Pukovnik
m_stephanolepidis,Jobu08
m_stephanolepidis,32HC
m_stephanolepidis,Trixie
m_stephanolepidis,Kampy
m_stephanolepidis,Phantastic
m_fortuitum,Chy5
m_fortuitum,Chy4
m_fortuitum,32HC
m_vaccae,Brujita
m_vaccae,Island3
m_vaccae,Brusacoram
m_vaccae,Shipwreck
m_vaccae,Bron
m_vaccae,Fishburne
m_vaccae,Chy5
m_vaccae,Chy4
m_vaccae,Donovan 
m_vaccae,32HC
m_vaccae,BigNuz
m_vaccae,Babsiella
m_vaccae,Malithi
m_phlei,Melvin
m_phlei,Bactobuster
m_phlei,Giles
m_phlei,SWU1
m_phlei,32HC
m_phlei,Turbido
m_phlei,Wile
m_dioxanotrophicus,Chy5
m_dioxanotrophicus,Chy4
m_neoaurum,32HC
m_senegalense,Giles
mtb_c,Che12
mtb_c,Adzzy
mtb_haarlem,Che12
mtb_haarlem,Adzzy
m_microti,Che12
m_microti,Adzzy
m_bovis,Che12
m_bovis,Adzzy
m_africanum,Che12
m_africanum,Adzzy
m_avium,Redi
m_bovis_bcg,Che12
m_bovis_bcg,Adzzy
m_marinum,Ariel
m_marinum,MiaZeal 
m_marinum,Courthouse
m_marinum,Miazeal
m_smegmatis,Phayonce
m_smegmatis,Redi
mtb_cdc1551,Che12
mtb_cdc1551,Adzzy
mtb_f11,Che12
mtb_f11,Adzzy
mtb_h37ra,Che12
mtb_h37ra,Adzzy
m_ulcerans ,Ariel
m_ulcerans ,MiaZeal 
m_ulcerans ,Courthouse
m_ulcerans ,Miazeal
mtb_h37rv,Che12
mtb_h37rv,Adzzy
m_gilvum,Ariel
m_gilvum,MiaZeal 
m_gilvum,Courthouse
m_gilvum,Miazeal
m_abscessus,Eagle
m_abscessus,Vix
m_abscessus,LHTSCC
m_abscessus,Medusa
m_abscessus,Anubis
m_abscessus,BellusTerra
m_abscessus,Obama12
m_abscessus,Equemioh13
m_abscessus,Tiffany
m_abscessus,Piro94
m_abscessus,MarQuardt
m_abscessus,Ariel
m_abscessus,SweetiePie
m_abscessus,Larenn
m_abscessus,MiaZeal 
m_abscessus,Taurus
m_abscessus,ShedlockHolmes
m_abscessus,Sparkdehlily
m_abscessus,Cabrinians
m_abscessus,Marie
m_abscessus,Malinsilva
m_abscessus,Hercules11
m_abscessus,EvilGenius
m_abscessus,ChipMunk
m_abscessus,Penny1
m_abscessus,Aglet
m_abscessus,Pukovnik
m_abscessus,SWU1
m_abscessus,Jobu08
m_abscessus,Courthouse
m_abscessus,Trixie
m_abscessus,Kampy
m_abscessus,Phantastic
m_abscessus,Keshu
m_abscessus,Miazeal
m_intracellulare,Ariel
m_intracellulare,MiaZeal 
m_intracellulare,Courthouse
m_intracellulare,Miazeal
m_liflandii,Ariel
m_liflandii,MiaZeal 
m_liflandii,Courthouse
m_liflandii,Miazeal
m_shigaense,Ariel
m_shigaense,MiaZeal 
m_shigaense,Courthouse
m_shigaense,Miazeal
m_stephanolepidis,Ariel
m_stephanolepidis,MiaZeal 
m_stephanolepidis,ShedlockHolmes
m_stephanolepidis,Bactobuster
m_stephanolepidis,SWU1
m_stephanolepidis,Courthouse
m_stephanolepidis,Keshu
m_stephanolepidis,Miazeal
m_phlei,Che12
m_phlei,Adzzy
m_dioxanotrophicus,Ariel
m_dioxanotrophicus,MiaZeal 
m_dioxanotrophicus,Vincenzo 
m_dioxanotrophicus,Giles
m_dioxanotrophicus,Courthouse
m_dioxanotrophicus,Miazeal
mtb_c,Chy5
mtb_c,Chy4
mtb_c,Sbash
mtb_haarlem,Chy5
mtb_haarlem,Chy4
mtb_haarlem,Sbash
m_microti,Chy5
m_microti,Chy4
m_microti,Sbash
m_bovis,Chy5
m_bovis,Chy4
m_bovis,Sbash
m_lepraemurium,Eagle
m_lepraemurium,Vix
m_lepraemurium,LHTSCC
m_lepraemurium,Medusa
m_lepraemurium,Anubis
m_lepraemurium,BellusTerra
m_lepraemurium,Melvin
m_lepraemurium,Obama12
m_lepraemurium,Equemioh13
m_lepraemurium,Tiffany
m_lepraemurium,Piro94
m_lepraemurium,MarQuardt
m_lepraemurium,SweetiePie
m_lepraemurium,Larenn
m_lepraemurium,Taurus
m_lepraemurium,Marie
m_lepraemurium,Malinsilva
m_lepraemurium,Hercules11
m_lepraemurium,EvilGenius
m_lepraemurium,ChipMunk
m_lepraemurium,Penny1
m_lepraemurium,Aglet
m_lepraemurium,Pukovnik
m_lepraemurium,Jobu08
m_lepraemurium,Turbido
m_lepraemurium,Trixie
m_lepraemurium,Kampy
m_lepraemurium,Phantastic
m_africanum,Chy5
m_africanum,Chy4
m_africanum,Sbash
m_avium,Eagle
m_avium,Vix
m_avium,LHTSCC
m_avium,Medusa
m_avium,Anubis
m_avium,BellusTerra
m_avium,Melvin
m_avium,Obama12
m_avium,Equemioh13
m_avium,Tiffany
m_avium,Piro94
m_avium,MarQuardt
m_avium,SweetiePie
m_avium,Larenn
m_avium,Taurus
m_avium,Marie
m_avium,Malinsilva
m_avium,Hercules11
m_avium,EvilGenius
m_avium,ChipMunk
m_avium,Penny1
m_avium,Aglet
m_avium,Pukovnik
m_avium,Jobu08
m_avium,32HC
m_avium,Turbido
m_avium,Trixie
m_avium,Kampy
m_avium,Phantastic
m_avium_ssp_paratuberculosis_k10,Eagle
m_avium_ssp_paratuberculosis_k10,Vix
m_avium_ssp_paratuberculosis_k10,LHTSCC
m_avium_ssp_paratuberculosis_k10,Medusa
m_avium_ssp_paratuberculosis_k10,Anubis
m_avium_ssp_paratuberculosis_k10,BellusTerra
m_avium_ssp_paratuberculosis_k10,Melvin
m_avium_ssp_paratuberculosis_k10,Obama12
m_avium_ssp_paratuberculosis_k10,Equemioh13
m_avium_ssp_paratuberculosis_k10,Tiffany
m_avium_ssp_paratuberculosis_k10,Piro94
